"class","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24"
"Clostridia",102,475,2910,1188,1278,324,4350,641,1176,883,426,5880,82,158,1632,531,384,829,1708,4864,799,841,1262,524
"Bacteroidia",1066,1005,383,801,623,628,596,549,259,264,551,270,207,582,972,700,477,724,1227,661,1754,1656,688,1523
"Erysipelotrichia",588,186,141,157,127,123,752,139,129,132,229,249,131,464,144,135,121,746,752,171,251,230,410,62
"Betaproteobacteria",8,259,447,342,357,22,140,257,383,376,251,269,405,8,408,125,400,8,6,450,6,127,11,2
"unclassified",26,122,211,160,233,31,303,75,237,125,36,707,22,44,182,59,42,151,338,698,141,138,138,68
"Coriobacteriia",23,231,382,182,302,117,16,132,419,420,23,320,315,1,439,101,410,2,2,40,31,40,1,1
"Verrucomicrobiae",296,61,48,51,48,55,47,50,54,47,46,64,51,546,53,50,42,80,60,65,79,64,73,568
"Bacilli",7,21,46,23,28,21,38,19,45,34,445,310,10,7,35,17,461,31,52,68,79,57,115,11
"Gammaproteobacteria",6,8,24,29,34,6,56,9,14,18,11,81,7,6,51,49,8,14,26,61,23,32,14,16
"Mollicutes",0,11,2,6,3,0,0,1,4,0,0,0,0,0,0,2,0,10,22,199,4,1,5,0
"Negativicutes",1,6,10,5,11,2,9,5,9,3,1,9,1,1,5,3,2,7,13,19,11,15,10,2
"Spirochaetia",1,2,10,3,5,2,6,3,8,8,1,5,0,0,2,0,0,4,2,9,6,4,4,0
"Actinomycetes",3,2,3,4,4,0,13,1,0,2,0,3,0,1,1,1,2,6,8,7,5,4,4,2
"Tissierellia",0,6,7,1,7,4,5,1,5,1,0,2,0,1,2,2,0,6,6,6,3,3,4,0
"Alphaproteobacteria",0,2,3,1,4,1,1,0,4,1,0,2,0,0,2,1,0,3,3,5,5,4,4,0
"Flavobacteriia",0,1,0,0,2,0,3,0,0,2,0,3,0,1,2,3,0,3,1,2,1,3,4,2
"Myxococcia",0,2,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,2,4,3,1,5,4,0
"Chitinophagia",3,0,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,4,1,0,3,4,3,2
"Cytophagia",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,3,2,3,3,3,2,1
"Sphingobacteriia",1,0,0,0,1,1,3,0,1,0,0,1,0,1,1,1,0,1,2,0,0,2,4,1
"Desulfovibrionia",1,1,1,1,1,0,1,2,1,3,0,3,0,0,0,1,0,2,1,1,0,0,0,0
"Epsilonproteobacteria",1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2,2,1,2,2,1
"Fusobacteriia",0,1,0,1,1,1,2,1,1,1,0,2,0,1,1,0,1,1,1,0,0,1,0,0
"Chlamydiia",0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,0,0
"Desulfobulbia",0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,2,0,1,1
"Synergistia",1,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0
"Cyanophyceae",0,0,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
"Deltaproteobacteria",0,0,1,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0
"Terriglobia",1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,2,1,0,0
"Fibrobacteria",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0
"Armatimonadia",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Desulfuromonadia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0
"Lentisphaeria",0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermotogae",0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ardenticatenia",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Desulfobacteria",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"Planctomycetia",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Balneolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nitrospinia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Opitutae",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Syntrophorhabdia",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Anaerolineae",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Izimaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Deferribacteres",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dehalococcoidia",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holophagae",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saprospiria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Acidithiobacillia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Aquificae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Candidatus Cloacimonadia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Mcinerneyibacteria",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Termititenacia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Deinococci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Desulfuribacillia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Kiritimatiellia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Syntrophobacteria",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermomicrobia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
