family,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24
Lachnospiraceae,36,123,1888,426,586,69,2786,258,808,266,217,3684,38,56,1099,395,39,136,764,3133,217,290,508,98
Oscillospiraceae,39,215,501,487,344,145,1066,255,175,324,66,1301,24,54,173,71,32,258,491,896,293,292,480,284
unclassified,76,204,384,342,421,83,585,159,310,229,56,1308,45,67,369,124,71,286,514,1188,273,288,262,197
Erysipelotrichaceae,588,182,130,150,121,121,677,134,128,125,113,229,121,463,123,107,117,743,741,147,250,228,410,61
Bacteroidaceae,410,96,94,109,112,189,110,159,92,94,78,98,97,424,172,132,104,132,131,174,625,682,144,779
Sutterellaceae,4,243,435,329,346,21,132,242,369,365,247,257,396,8,388,122,386,7,4,435,4,119,10,1
Barnesiellaceae,277,147,170,141,130,187,255,148,130,130,393,130,26,18,423,206,143,147,141,126,238,303,140,432
Muribaculaceae,265,97,87,73,66,182,165,114,33,36,80,38,66,105,269,253,147,282,226,214,405,377,267,230
Atopobiaceae,23,226,375,177,298,112,11,128,414,413,23,306,311,1,432,99,403,1,2,35,30,30,1,0
Rikenellaceae,7,639,4,462,295,3,4,96,2,2,0,1,0,3,6,6,45,36,620,65,313,141,29,16
Akkermansiaceae,296,61,47,51,48,55,47,50,54,47,46,64,51,546,53,50,42,79,60,65,79,64,73,568
Clostridiaceae,15,46,299,74,98,56,176,47,61,173,10,206,7,27,56,13,15,282,170,206,109,80,78,29
Lactobacillaceae,0,0,2,3,2,1,4,2,16,13,445,282,7,0,24,14,456,9,24,14,43,16,91,1
Prevotellaceae,62,15,10,7,8,36,38,18,0,0,0,0,7,14,51,42,18,71,66,37,94,85,66,36
Eubacteriaceae,0,13,27,17,22,6,34,10,21,14,7,65,0,4,159,5,2,19,95,53,13,24,65,4
Enterobacteriaceae,3,7,20,25,30,4,52,7,10,16,10,79,7,6,49,48,8,11,22,55,16,29,10,15
Eubacteriales Family XIII. Incertae Sedis,0,3,5,1,7,5,6,0,2,0,2,5,3,0,1,4,285,2,9,48,9,4,2,0
Coprobacillaceae,0,3,11,7,6,2,75,4,1,7,116,20,10,1,21,28,3,3,11,23,1,2,0,1
Pumilibacteraceae,1,7,12,8,20,2,2,3,23,1,0,5,0,0,1,10,1,17,18,46,35,40,19,0
Paenibacillaceae,6,13,23,7,14,13,17,11,11,14,0,12,1,6,4,1,5,9,12,14,17,19,13,6
Mycoplasmataceae,0,9,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,7,21,195,0,0,2,0
Peptostreptococcaceae,0,5,7,6,6,2,13,3,8,3,106,15,1,0,2,1,3,4,7,11,12,2,4,1
Tannerellaceae,5,2,3,2,3,2,2,1,1,1,0,2,6,8,18,19,8,4,5,14,14,15,5,6
Bacillaceae,1,3,7,6,6,4,6,2,4,3,0,4,1,1,3,1,0,7,6,14,7,10,5,2
Christensenellaceae,0,4,6,1,13,2,3,2,9,0,0,0,0,1,0,1,0,7,7,7,18,7,8,1
Acidaminococcaceae,1,3,3,0,6,2,2,1,5,1,1,4,1,1,2,2,1,3,4,13,7,11,3,1
Eggerthellaceae,0,3,5,4,2,3,1,0,3,5,0,9,4,0,6,1,5,0,0,3,0,4,0,1
Bianqueaceae,0,1,7,1,1,1,6,4,1,4,0,2,0,0,2,0,1,3,1,3,2,4,4,0
Candidatus Borkfalkiaceae,0,1,6,2,3,0,1,0,4,0,0,1,0,0,0,2,0,4,5,4,6,1,3,0
Selenomonadaceae,0,2,2,3,4,0,3,1,3,1,0,3,0,0,3,1,0,3,4,3,3,2,2,0
Enterococcaceae,0,2,2,3,1,0,3,1,3,1,0,5,0,0,2,0,0,0,3,4,2,5,1,0
Coriobacteriaceae,0,2,2,1,2,2,4,4,2,2,0,4,0,0,1,1,2,1,0,1,0,4,0,0
Bifidobacteriaceae,1,0,0,4,1,0,5,0,0,1,0,1,0,1,0,0,1,3,4,3,2,3,0,1
Peptoniphilaceae,0,4,1,0,6,0,1,1,1,1,0,2,0,0,1,0,0,3,2,3,1,3,1,0
Myxococcaceae,0,2,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,2,4,3,1,5,4,0
Porphyromonadaceae,2,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3,1,2,1,2,7,0,2,3
Chitinophagaceae,3,0,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,4,1,0,3,4,3,2
Acholeplasmataceae,0,2,0,1,3,0,0,1,2,0,0,0,0,0,0,1,0,3,1,4,4,1,3,0
Dysgonomonadaceae,2,0,1,0,1,1,3,0,0,0,0,1,0,0,1,1,0,2,2,2,4,2,2,1
Vallitaleaceae,0,0,2,0,1,2,2,1,1,2,1,2,1,0,0,0,0,5,1,1,1,1,1,1
Acetobacteraceae,0,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,2,2,3,2,2,3,0
Desulfitobacteriaceae,0,0,1,2,1,0,2,0,2,0,0,5,0,0,0,0,0,1,3,3,1,0,1,0
Streptococcaceae,0,1,2,1,0,0,5,0,2,0,0,1,0,0,0,0,0,3,2,0,2,1,1,1
Yeguiaceae,0,0,2,0,1,7,1,0,1,1,0,3,0,0,0,0,1,0,0,2,0,1,1,0
Desulfovibrionaceae,1,1,1,1,1,0,1,2,1,3,0,3,0,0,0,1,0,2,1,1,0,0,0,0
Streptomycetaceae,1,1,2,0,1,0,4,0,0,1,0,0,0,0,0,1,0,1,2,0,2,0,2,0
Peptococcaceae,1,0,2,0,0,1,1,1,3,1,0,1,0,1,0,0,0,1,0,2,0,2,0,0
Chlamydiaceae,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,0,0
Flavobacteriaceae,0,0,0,0,1,0,2,0,0,1,0,3,0,1,2,2,0,2,1,0,0,1,0,0
Fusobacteriaceae,0,1,0,1,1,1,2,1,1,1,0,2,0,1,0,0,1,1,1,0,0,1,0,0
Sporomusaceae,0,0,2,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,3,0,0,2,2,1
Sphingobacteriaceae,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,2,0,0,1,2,0
Sporolactobacillaceae,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0
Tissierellaceae,0,1,2,0,1,4,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Treponemataceae,0,0,2,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Alcaligenaceae,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,2,0,0,0,0
Carnobacteriaceae,0,0,2,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,2,1,0,1,0
Desulfobulbaceae,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,2,0,1,0
Moraxellaceae,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,2,1,0,0,0
Planococcaceae,0,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0
Syntrophomonadaceae,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,2,2,1,0,0
Marinilabiliaceae,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,1,1,0
Veillonellaceae,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
Vibrionaceae,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
Weeksellaceae,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,2,0
Feifaniaceae,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
Spirochaetaceae,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Staphylococcaceae,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
Aerococcaceae,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0
Prolixibacteraceae,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,1
Thermoanaerobacterales Family III. Incertae Sedis,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0
Alicyclobacillaceae,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
Arcobacteraceae,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
Cytophagaceae,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0
Listeriaceae,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0
Nitrobacteraceae,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Campylobacteraceae,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Fibrobacteraceae,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0
Odoribacteraceae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0
Sphaerochaetaceae,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Synergistaceae,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
Tepidimicrobiaceae,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Xylanivirgaceae,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0
Acidobacteriaceae,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Brachyspiraceae,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Eubacteriales Family XII. Incertae Sedis,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0
Hymenobacteraceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1
Leptospiraceae,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Microbacteriaceae,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Succinivibrionaceae,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Thermoactinomycetaceae,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Thermoanaerobacteraceae,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
Capsulimonadaceae,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Microcoleaceae,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Nostocaceae,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Pasteurellaceae,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Proteinivoraceae,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Spirosomaceae,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Symbiobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Ardenticatenaceae,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0