"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8"
"ENSMUSG00000000001",1707.892805,1843.607229,1687.026861,1501.023877,1806.651912,1916.631015,1984.705035,2100.84931
"ENSMUSG00000000028",27.84607834,30.1759562,29.61100278,69.6677749,48.57702508,51.32070688,42.77381541,52.52123275
"ENSMUSG00000000056",468.7423188,517.3021062,556.2066738,404.548102,455.7971928,468.7949186,497.031735,504.0018296
"ENSMUSG00000000058",60.33316974,81.90616682,75.227953,51.45915192,116.7915709,88.82430036,71.86000988,68.68161205
"ENSMUSG00000000078",2706.870865,3110.997389,2504.930775,2310.911761,2468.126296,2762.435741,2557.018685,2697.773321
"ENSMUSG00000000085",158.9546972,145.1319798,226.4841564,192.3780602,248.052894,224.0346243,203.6033613,198.9746702
"ENSMUSG00000000088",555.7613136,467.0088459,693.8578218,658.6771445,574.6558712,648.4173927,572.3136501,629.2447693
"ENSMUSG00000000093",17.40379896,33.04985679,30.41130015,38.79228375,27.90595058,40.4644035,27.37524186,44.44104309
"ENSMUSG00000000120",45.24987731,41.67155856,72.02676351,46.70907635,37.20793411,36.51665682,28.23071817,49.49116163
"ENSMUSG00000000125",62.65367627,47.41935974,26.40981329,60.95930304,64.08033096,65.13782027,34.21905232,20.20047413
"ENSMUSG00000000126",23.20506528,21.55425443,15.20565007,18.20862299,8.268429801,14.80405006,17.96500247,24.24056896
"ENSMUSG00000000127",156.6341907,130.7624768,162.4603666,146.4606631,170.5363646,182.5832841,170.2397853,144.4333901
"ENSMUSG00000000131",843.5041231,962.7566977,911.5387071,1074.308756,1041.822155,936.6029005,941.0239389,1023.154015
"ENSMUSG00000000134",339.9542064,383.6657288,451.367718,402.9647435,333.8378532,375.0359349,375.5540993,408.0495775
"ENSMUSG00000000142",829.5810839,1041.788964,1029.182421,1647.484541,912.6279393,1172.480765,1094.154198,712.0667132
"ENSMUSG00000000148",204.2045745,219.8533951,118.4440111,171.7943995,158.1337199,185.5440941,159.1185933,152.5135797
"ENSMUSG00000000149",227.4096398,227.0381466,334.5243016,306.3798737,247.0193403,300.0287479,268.6195607,299.9770409
"ENSMUSG00000000154",625.3765094,530.2346589,877.1259201,555.7588407,686.2796735,742.1763764,609.0991314,730.2471399
"ENSMUSG00000000157",636.9790421,863.6071273,694.6581192,665.0105786,500.240003,570.4493957,676.6817597,658.5354568
"ENSMUSG00000000159",414.2104153,406.6569335,474.5763418,424.3400835,418.5892587,466.8210452,465.3791116,452.4906206
"ENSMUSG00000000168",203.0443212,185.3665881,207.2770194,200.2948528,238.7509105,231.9301176,220.7128875,252.5059267
"ENSMUSG00000000171",1010.580593,771.6423084,1065.9961,1179.602098,1033.553725,1043.192061,975.2429912,1010.023707
"ENSMUSG00000000184",1901.6551,2401.143943,1960.728562,3015.506302,2909.453736,2729.866831,2433.830097,2301.844028
"ENSMUSG00000000194",1232.188967,1373.724482,1439.734973,1261.145062,1151.37885,1148.794285,1296.902083,1407.973047
"ENSMUSG00000000204",111.3843134,136.510278,102.4380637,86.29303937,86.81851291,97.7067304,63.3052468,70.70165947
"ENSMUSG00000000223",12.76278591,15.80645325,16.80624482,8.708471863,17.57041333,12.83017672,3.421905232,10.10023707
"ENSMUSG00000000244",56.85240995,56.04106151,78.42914249,102.9183038,94.05338899,11.84324005,53.0395311,60.6014224
"ENSMUSG00000000248",4.641013057,21.55425443,16.00594745,8.708471863,17.57041333,1.973873341,6.843810465,16.16037931
"ENSMUSG00000000253",69.61519585,57.4780118,89.6333057,49.08411414,59.94611606,56.25539023,61.59429418,66.66156464
"ENSMUSG00000000266",452.4987731,487.12615,519.3929947,402.1730642,587.0585159,503.3377021,456.8243485,434.3101939
"ENSMUSG00000000275",2184.756897,2645.425493,2446.509067,2283.202987,1578.236538,1952.160735,1923.110741,2525.059267
"ENSMUSG00000000276",92.82026114,94.83871947,80.83003461,73.6261712,87.85206664,113.4977171,120.6221594,109.0825603
"ENSMUSG00000000278",385.2040837,329.0616176,456.9697996,416.4232909,454.7636391,481.6250953,460.2462538,482.7913318
"ENSMUSG00000000282",312.1081281,402.3460826,428.9593916,348.3388745,244.9522329,365.1665682,362.7219546,498.9517111
"ENSMUSG00000000290",113.7048199,102.0234709,148.0550139,234.337061,142.6304141,77.96799699,109.5009674,160.5937694
"ENSMUSG00000000295",20.88455876,20.11730413,15.20565007,26.91709485,17.57041333,29.60810012,23.95333663,20.20047413
"ENSMUSG00000000301",11.60253264,5.74780118,8.803271096,11.08350964,15.50330588,12.83017672,11.97666831,16.16037931
"ENSMUSG00000000303",10749.74649,10833.16827,10586.33364,12534.65773,11146.87693,10547.3922,11271.75584,11878.88881
"ENSMUSG00000000305",12.76278591,7.184751475,11.20416321,11.8751889,8.268429801,10.85630338,13.68762093,4.040094827
"ENSMUSG00000000308",4366.033033,3573.695384,4659.331302,4522.071935,4171.422835,4237.906064,3835.955766,4001.713926
"ENSMUSG00000000318",6.961519585,10.05865207,10.40386584,9.500151123,12.4026447,10.85630338,4.277381541,5.050118533
"ENSMUSG00000000326",813.3375382,798.944364,926.7443572,955.5568671,881.6213275,820.1443734,839.2222583,804.9888942
"ENSMUSG00000000339",262.2172377,172.4340354,254.4945644,203.4615699,255.2877701,192.4526508,218.1464586,217.1550969
"ENSMUSG00000000340",126.4676058,87.653968,112.0416321,101.3349453,161.2343811,142.1188806,121.4776358,114.1326789
"ENSMUSG00000000346",2225.365761,2516.099967,3166.776702,2088.449889,2465.025634,2948.966772,2689.617513,3106.832922
"ENSMUSG00000000355",134.5893787,139.3841786,108.0401453,80.75128454,109.5566949,112.5107805,123.1885884,97.97229955
"ENSMUSG00000000359",18.56405223,25.86510531,21.60802905,15.8335852,25.83884313,23.6864801,14.54309724,25.25059267
"ENSMUSG00000000374",1957.347257,2069.208425,2101.5809,2175.534607,1762.209101,1958.082355,1889.747165,2099.839286
"ENSMUSG00000000378",182.1597625,179.6187869,214.4796958,247.7956085,175.7041333,142.1188806,170.2397853,192.914528
"ENSMUSG00000000384",547.6395407,487.12615,512.9906157,587.4260111,532.2801684,618.8092925,512.4303086,470.6710473
"ENSMUSG00000000385",638.1392953,965.6305983,661.8459269,902.5143567,882.6548813,935.6159638,893.972742,785.7984438
"ENSMUSG00000000386",63.81392953,135.0733277,60.8226003,45.12571783,44.44281018,67.11169361,90.68048866,106.0524892
"ENSMUSG00000000392",26.68582508,76.15836564,40.81516599,33.25052893,37.20793411,42.43827684,38.49643386,41.41097197
"ENSMUSG00000000394",279.6210367,264.3988543,324.1204358,279.4627789,423.7570273,543.8021056,389.2417202,275.7364719
"ENSMUSG00000000399",432.7744676,339.1202696,436.9623653,496.3828962,514.7097551,483.5989686,423.4607725,493.9015926
"ENSMUSG00000000409",66.13443606,70.41056446,101.6377663,135.3771535,104.3889262,41.45134017,52.18405479,87.87206248
"ENSMUSG00000000416",51.05114363,47.41935974,54.42022132,57.792586,55.81190116,58.22926357,54.75048372,53.53125645
"ENSMUSG00000000420",1312.246442,1255.894558,1258.867767,1187.51889,1284.70728,1182.350132,1201.944213,1233.238946
"ENSMUSG00000000439",255.2557181,201.1730413,249.6927802,218.5034758,259.421985,268.4467744,205.3143139,203.014765
"ENSMUSG00000000440",84.69848829,35.92375738,107.2398479,79.16792602,155.0330588,141.1319439,117.2002542,73.73173059
"ENSMUSG00000000441",567.3638462,543.1672115,689.856335,568.4257089,562.2532265,629.6655959,658.7167572,576.7235365
"ENSMUSG00000000486",68.45494259,61.78886269,84.83152147,110.0434172,68.21454586,23.6864801,54.75048372,68.68161205
"ENSMUSG00000000489",53.37165016,45.98240944,54.42022132,54.62586896,46.50991763,53.29458022,47.90667325,58.58137499
"ENSMUSG00000000530",104.4227938,139.3841786,102.4380637,155.9608143,128.1606619,106.5891604,117.2002542,139.3832715
"ENSMUSG00000000531",27.84607834,4.310850885,17.60654219,24.54205707,27.90595058,40.4644035,26.51976555,29.29068749
"ENSMUSG00000000532",994.3370475,814.7508173,894.7324623,921.5146589,815.4738891,825.0790567,885.4179789,893.8709804
"ENSMUSG00000000538",2037.404732,2158.299343,2548.947131,2060.741114,1768.410424,1968.938658,2127.569578,2510.918935
"ENSMUSG00000000544",5696.843527,6388.681012,7828.508896,6959.652377,5913.994415,6655.900907,6500.764465,7270.150641
"ENSMUSG00000000552",35.96785119,54.60411121,57.62141081,69.6677749,59.94611606,45.39908685,44.48476802,73.73173059
"ENSMUSG00000000555",243.6531855,159.5014827,316.9177595,243.0455329,359.6766963,726.3853896,236.9669373,496.9316637
"ENSMUSG00000000561",99.78178073,116.3929739,56.82111344,80.75128454,88.88562036,101.6544771,98.37977543,66.66156464
"ENSMUSG00000000563",936.3243842,763.0206067,917.9410861,676.8857675,887.8226499,982.988924,824.679161,971.6428058
"ENSMUSG00000000567",273.8197704,310.3812637,230.4856432,335.6720063,282.160167,361.2188215,334.4912365,232.3054525
"ENSMUSG00000000568",436.2552274,494.3109015,378.5406571,402.1730642,438.2267795,493.4683354,550.0712661,463.6008814
"ENSMUSG00000000579",33.64734466,22.99120472,20.00743431,20.58366077,15.50330588,19.73873341,23.09786032,17.17040301
"ENSMUSG00000000581",194.9225484,221.2903454,149.6556086,163.0859276,194.3081003,151.0013106,163.3959748,141.4033189
"ENSMUSG00000000594",309.7876216,314.6921146,290.5079462,434.6319139,407.2201677,288.1855078,273.7524186,377.7488663
"ENSMUSG00000000600",640.4598019,806.1291155,601.823624,483.716028,602.5618218,628.6786592,632.1969917,558.5431098
"ENSMUSG00000000605",677.5879063,682.5513901,606.6254082,528.8417458,624.26645,627.6917226,691.2248569,573.6934654
"ENSMUSG00000000628",459.4602926,426.7742376,392.9460098,825.7214684,578.7900861,551.6975989,411.4841042,616.1144611
"ENSMUSG00000000631",4022.598067,4635.601652,4037.500244,4891.786149,3689.786799,3900.373723,4176.435336,4694.590189
"ENSMUSG00000000673",61.49342301,21.55425443,51.21903183,80.75128454,74.41586821,6.908556695,48.76214956,47.47111421
"ENSMUSG00000000682",236.6916659,239.9706993,261.6972408,330.1302515,249.0864478,102.6414138,195.0485982,269.6763297
"ENSMUSG00000000686",30.16658487,47.41935974,19.20713694,34.83388745,26.87239685,24.67341677,29.08619448,22.22052155
"ENSMUSG00000000690",711.235251,225.6011963,841.9128357,210.5866832,469.2333912,750.0718697,572.3136501,365.6285818
"ENSMUSG00000000693",38.28835772,43.10850885,37.6139765,30.08381189,19.63752078,27.63422678,31.6526234,32.32075861
"ENSMUSG00000000708",413.0501621,441.1437406,481.7790182,380.0060449,391.7168618,465.8341086,378.9760045,448.4505258
"ENSMUSG00000000711",886.4334939,1107.888677,1032.38361,832.8465818,719.3533927,952.3938872,923.0589364,1018.103896
"ENSMUSG00000000724",17.40379896,15.80645325,9.603568468,22.16701929,16.5368596,26.64729011,17.96500247,18.18042672
"ENSMUSG00000000732",211.1660941,235.6598484,202.4752352,267.58759,225.3147121,112.5107805,220.7128875,234.3255
"ENSMUSG00000000738",512.8319428,445.4545915,516.1918052,577.1341807,536.4143833,492.4813987,487.6214956,502.9918059
"ENSMUSG00000000740",1984.033082,1561.964971,2375.282601,2439.95548,2552.877701,2777.239791,1941.075743,1999.846939
"ENSMUSG00000000743",1004.779327,952.6980456,1071.598182,1065.600284,865.0844679,906.9948004,933.3246521,1020.123944
"ENSMUSG00000000751",283.1017965,201.1730413,209.6779116,304.0048359,245.9857866,207.2567008,208.7362192,184.8343383
"ENSMUSG00000000753",24.36531855,20.11730413,13.60505533,18.20862299,24.8052894,18.75179674,18.82047878,32.32075861
"ENSMUSG00000000759",491.947384,327.6246673,444.1650417,398.2146679,429.9583497,394.7746683,429.4491067,370.6787004
"ENSMUSG00000000776",52.21139689,73.28446505,47.21754497,64.91769934,63.04677723,85.86349035,50.47310218,37.37087715
"ENSMUSG00000000782",58.01266321,130.7624768,140.0520402,144.8773046,107.4895874,66.12475694,105.2235859,123.2228922
"ENSMUSG00000000787",2607.089085,2728.76861,2154.400526,2194.534909,2678.971256,2741.710071,3025.819702,2573.540405
"ENSMUSG00000000791",3.480759793,25.86510531,12.80475796,33.25052893,13.43619843,12.83017672,8.554763081,20.20047413
